num	period	title	date	body
15	pandemic	기초생활수급자	2020.02.14	저는 편집조현병이 있고 우울증진단을 받았습니다.현재 자살충동으로 병원입원중입니다.형은 정상인인데 외동딸과 결혼해서 장인어른 모셔야 합니다.아버지는 70중반입니다.어머니도 조현병이있으십니다.약먹으면 일상생활 가능합니다.직업은 막노동 심부름인데 그런데 갈구면적응 못합니다.그래서 일많이 못나갑니다.저같은 경우는 기초생활수급자가능합니까?나이는 40입니다
16	pandemic	"우울증 병원 , 상담소"	2020.02.14	혼전순결을 주장하던 전 20대때 강간을 당했고 자살밖에 생각나지 않던 저를 위로해주던 남자를 만났고 너무 큰 위로를 받아 얼마 만나지 않고 혼인신고를 했습니다 그치만 저는 그 남자에게 더큰 상처를 받았고 그 남자 아버지한테 성폭행을 당했습니다 몸과 마음이 정말 찢어지고 무너지는 상태에 매일 기분이 오락가락하면서 사는게 사는게 아닌 상태로 그남자 가족들에게 세뇌 당하며 1년을 살아왔습니다 지금은 본가에서 지내는 중이지만 우울증 때문에 약을 먹어도 소용이 없고 저희 가족들은 이러한 사실도 모르고 알리고 싶지도 않습니다 처음 다니던 병원에서 입원을 권유했고 아무것도 모르는 가족은 그저 방황하다 상처받은 걸로 인식하고 입원까진 안된다고 하셔서 약만 받아먹고 있는데 정말 죽을것 같습니다 잠을 자도 악몽에 시달리고 남자들한테 받았던 상처가 계속 떠오르고 지워지질 않습니다 병원을 옮겨다녀도 정말 위로받을곳이 하나도 없는것같고 하다하다 안되겠어서 전 그냥 그만해야겠다라는 심정으로 아무것도 하지않으며 그냥 정말 인생이 흘러가는대로 사는중이고 당장이라도 죽을 수 있을것 같은데 저도 정말 어떡해야 될지 모르겠고 제가 당했던 일을 신고하고 그사람들이 처벌받길 원하지만 그렇게 한다고해서 제 몸이 예전같아지는것도 아니고 제 기억이 사라지는것도 아니고 그냥 제가 없어지면 될것같다는 생각밖에 들지 않아요 부모님 생각해서라도 입원을 얘기해보고 싶다가도 그럴만한 여유도 되지않고 왜 이렇게까지 힘들어하는지 알리고싶지 않아서 답답합니다 상담소를 다녀야할까요 아니면 입원에 대해 자세히 알고계신분 계실까요
17	pandemic	정신과를 다니는데 좋아지지않는거같아요 ㅠㅠ 도움주세요	2020.02.14	"안녕하세요 .도움을 얻고자 지식인에 글을 올려봅니다.,,저는 강박관념과 질투가 너무 심해서 주위사람들에게 피해를 주는 정도인데요.,특히 강박관념은  일정계획을 짜놓고 실행에 무조건 옮겨야하고 실행을 못한경우 그거에 대한 스트레스가 엄청난상태입니다.,,그리고 20살때부터 언니와함께 살았는데요,그때이후로 경쟁상대가 언니가 되면서 언니에대한 질투심이 아주 심한상태입니다.,예를들어 좋은 물건을 언니가 사거나  제가 어떤물건을 사면 언니가 좋다고 나도 사겠다고 하면 ,그거에 대한 질투로 엄청 미워하는행동을 보이고 있습니다 .,이관계에서 형부가 있는데요... 형부는 예전부터 언니에게 쉽게 많은것을 해줬고 그걸보면서,나는 그러지못한거에 대한 질투심까지 더해진 상태입니다.,,(그리고 저는 지금 언니네 함께 살고있고 일도 함께 하고 있습니다 .),,그렇게 계속 내내 보내다보니 더욱더 심해지고 있는 상태라 ,,몇개월전  정신과를 방문했는데요 ..,진단이 우울증과 조울증으로 내려졌고 그로인해 약을 4개월째 먹고있는데 ,전혀 도움이 안되고있습니다 .,,상담시 말씀을 드렸지만 성격적인 문제로 고치기가 어렵다고 말씀을 하시면서 ,다른거에 관심을 둬봐라 등등 ....마음가짐을 달리하라고 말씀하시는데 ㅠㅠㅠㅠ,힘든상태입니다 ㅠㅠ ,,위와같은 문제는 정신과를 다니면서 이문제가 해결되긴 어려울까요??,,아님 심리상담센터를 가야하는지..,,정신과를 다니면서 계속 해결이 되는것인지 ...,,도움요청드려요 ㅠㅠ "
18	pandemic	"가바(GABA), 발레리안,아슈와 간다 등 동시에 섭취해도 되나요?"	2020.02.15	"안녕하세요. 병원 진단 결과 불안증, 우울증을 앓고 있습니다.,약물보다는 자연대체식품으로 도움을 얻고자 하는데요.,알아보니,가바, 발레리안(쥐오줌풀), 아수와간다,마그네슘,비타민B영양제,등이 불안증에 좋다고 알게되었어요.,영양제 형태로 섭취하려고 하는데,이중 어떤 걸 먹는게 좋을지, 한꺼번에 다같이 섭취해도 되는 건지 궁금합니다."
19	pandemic	말더듬 장애	2020.02.15	"말더듬으로 인해서 사회생활 못하고 있습니다,중학교때부터 말더듬시작되어 현재 22살이고 쭉 말더듬을 하고있습니다....,,정신과가면 우울증 불안장애때문이라 그러고..군대도 면제판정받았습니다,,가족끼리 대화해도 말더듬심한데... 장애신청하고 싶은데 절차가 무엇인지 궁금합니다"
20	pandemic	항우울제 먹어도 되나요?	2020.02.16	제가 우울증이랑 강박증때문에 셀트라정 50mg 처방받았는데요 원래 빈맥있고 자주 혈압 떨어지는것처럼 현기증나고 실신한적도 있는데 먹어도 될까요?
21	pandemic	우울증 병원 진단	2020.02.17	"제가 작년부터 우울증 진단을 받고 치료를 계속 했었는데, 제가 다니는 병원 의사 선생님이 그냥 요즘은 기분 어떤지만 묻고 계속 우울하다고 하면 약만 처방 해주시고 끝나거든요. 보통 정신과 병원에서는 이렇게 심플하게 진단하고 끝나나요? 아니면 제가 다니는 병원이 무심한걸까요.. 3달정도 약먹고 다니다가 올해들어서 안다니고 있거든요. 근데 우울증이 더 심해진것 같아서 병원을 다시 다니려고하는데 병원을 옮기는게 좋을까요? 아니면 계속 다니던데 다니는게 좋을까요... 그리고 혹시 초진은 얼마정도 하는지 알려주세요"
22	pandemic	몸에 전기가 통하는 것처럼 찌릿찌릿해요 쥐나는 건 아니고 머리랑 팔 쪽이 저린 느낌? 처음 느껴보는 증상이라 뭐라고 설명해야 할지는 모르겠어요	2020.02.18	"몸에 전기가 통하는 것처럼 찌릿찌릿해요,쥐나는 건 아니고 머리랑 팔 쪽이 저린 느낌? 처음 느껴보는 증상이라 뭐라고 설명해야 할지는 모르겠어요,신경 쪽에 문제가 있는 걸까요?,제가 우울증 약을 복용 중인데 약 부작용인가 걱정되기도 해요"
23	pandemic	부모님 이혼하신지 3달정도 되었는데 아빠와 끊켰는데요 저는 다시 관계 회복을 하고싶은데 될까요..	2020.02.18	"(개인사),,,,,,,,,,,,,,안녕하세요,,,,,,저희 부모님이 3달전에 이혼하시고 이사해 어머니와,같이 살고있는데, 이혼후에는 아버지와 하루에 한번씩,통화도하고 ,,,,일주일에 한번정도는 만나서 영화보고,저녁먹거나 할머니댁에 놀러가거나 그랬어요.,,,,,그런데 학교생활이나 여러가지 이유때문에,힘들었었던 때가 있었어요.,,,,,심리적으로 힘들어서 어머니랑 얘기해서 병원도가보고,공황장애와 우울증진단을 받았어요,,,,그것 때문인지 사소한일에도 스트레스받았었는데,,,,매일매일 아버지께서 전화를 하시는데,그때마다 부모님이 이혼하신게 생각나고 너무 구질구질,하고 짜증이났어요.,,,,,,,하루에 한번이라도 제가 전화를 걸지 않으면 몇일동안 전화,안오다가 제가 양심에 찔려서 전화하면 왜 전화를 안하냐,,너는 내가 보고싶지도 않냐 별별 소리를 30분은 하다가,끊어버리고,,,,,,그리고 진짜 스트레스받는건 어머니가 맨날 돈돈돈or아버지욕하고 아버지랑 전화한통,만해도 옆에서 ㅈㄴ뭐라고하는데 참다참다 “아빤데 전화한통할수있지...”,,,라고 하면 바로 소리지르면서 그렇게좋으면 니애비랑 할머니집가서 살아!!하믄서 나가라고 때리면서 소리지르고 (한달동안 하루에 한번은 저런듯),,,,,,정말 학교에서든 어디서든 밖에서 내편하나없고,그나마 가족이랑 집이 유일하게 내마음편하게 있을수,있었는데 그마저도 없어지니까 진짜 속상한마음에,,,,,,친가쪽 연락들 다 차단해버릿어요(아빠포함),,,,,,그런데 몇일은 편하다가 점점 시간이 지나니까,아빠가 너무 불쌍하기도 하고 만나고 싶기도 해요..,,,,이미 차단한지 한달이 다되가는데 지금와서야,아무렇지 않게 다시 볼수있을까요..?,,,,,만날려면 만날수있겠지만 그쪽도 나한테 실망했을테고,또 만나다가 이런일이 반복될까봐 무서워서 못하겠어요..,,,,저같은 상황으로 다시 만나는 부녀가 있을까요?,그리고 만난다면 제가 어떻게 해야할지 알려주세요..,,,,,,,(참고로 2녀중 장녀고 이제 15살입니당,진지하게 답변해주세요, 감사합니다ㅜ)"
24	pandemic	정신과 검사비용	2020.02.18	"제가 불안장애나 우울증이 있는 것 같아 정신과를 갔었는데요 처음에 갔던 곳은 스트레스 검사만 하고 우울증 진단을 내렸습니다,그래서 다란 정신병원으로 가려고하는데 처음 진료 검사비용이 얼마정도 나오는지 궁금합니다"
25	pandemic	비정형 우울증인데 ssri계열 항우울제 처방 받았어요.	2020.02.19	"비정형 우울증인데 ssri 계열 항우울제를 먹어도 되나요?,더 게을러지고 힘들고 움직이기 싫고,의욕도 없고 너무너무 힘든데요.,찾아보니까 비정형 우울증에 안 좋다고 나와있던데 말이에요.,걱정이네요."
26	pandemic	우울증약과 체중증가	2020.02.19	"안녕하세요 정신과약 2년 정도 먹었고,중간 중간 체중이 10kg가 쪄서 단약하고,다시 우울감이 와서 약을 먹고 해서 총 2년 정도,먹었습니다...,저는 운동을 8년 정도 했구요... 여자지만 푸시업도,정자세로 하고 풀업도 좀 합니다... 제가 이 말을,드리는 건... 질문 물어보면 계속 살 찌는 거랑 상관,없다 라고 공격적으로 대답을 하셔서. 먼저 밝힙니다...,살이 찌면 자살충동이 심해집니다.. 너무 죽고 싶은데,의사 선생님께서는 살이 안찌는 약이다 라고만 하셔서,너무 속상합니다. 침대에 멍하니 누워서 저 바라보는,가족 때문에 사회생활은 해야 하는데.....,,부탁드립니다 살이 안 찌는 우울증 약 추천 좀 해주세요"
27	pandemic	정신과 의사선생님들 답변부탁드립니다	2020.02.19	"안녕하세요 저는 28살여자 해외유학중입니다,중학생때부터 오래 앓아왔던 우울증이 20살성인되자마자 해외생활을 하는바람에 정신과를 다닌지 한달됬습니다 항우울제 신경안정제 수면유도제를 복용하는데,정신과에서는 반년간 치료가 필요하다고 말씀하셨어요,문제는 제가 방학기간 끝나고 인데...다량의 항우울제나 수면제를 주실까요...제가 항상 잠을깊이 못자고 2시간 주기로 자꾸깨는데 수면유도제먹고 깊은잠을 잘수있게되었어요 그래서 수면제랑 항우울제를 몇개월분을 처방받고싶은데 안되겠죠...?유학생활이 너무 우울해서 약에 의존하지않으면 안될것같고 수면제없이는 잠을못자서 스트레스입니다...."
28	pandemic	과수면 이유	2020.02.21	"우울증 약을 먹고 있긴한데 잠을 너무 많이 잡니다.,이것도 우울증 증상중 하나라고 말씀해 주시긴하는데,아빠도 그렇고 제 태생이 잠이 좀 많은 축에 속해서요.,잠을 보통 늦게 자는데 휴대폰 하느라 초3때부터 새벽 1시에 자는게 기본이었습니다. 그게 습관이 돼버린건지 일찍 눈을 감고 잠자리에 들어도 기본 2시간을 뒤척이며 잠을 못자고, 자가진단으로 한 불면증이 있는것 같고요. 그래서 새벽 2~5시 사이에 자면 다음날 오후 6시에 일어납니다.,12시전에 자도 다음날 무조건 오후 2~4시 사이에 일어나고 어떤날을 하루를 꼬박 자기도 합니다.,,학교에 가서도 끝날때까지 자다올때가 많고, 아침 9시부터 오후 3시에 약속같은게 있으면 일어나기가 힘들어 약속을 깨버리는 경우가 허다합니다. 심지어 잠때문에 약속을 자주 깨버려서 인간관계가 틀어져 버린적도 있고요.,,그렇다고 졸음을 참고 일찍 일어나면 그날 하루종일 피곤해 합니다. 전날 오후 5~6시쯤에 피곤에 쩔어서 잔 날이나 다음날 8시에 일어나 정상적이게 활동하죠.,,매일 꿈도 꿉니다. 우울증으로 인한 불안증세가 있는데 이 불안들이 최근엔 꿈으로 자꾸 나타납니다. 그것도 매일 여러번 꿈을 꿔요.,하지말라고 소리치면서 일어나기도 합니다.,,과수면의 이유가 대체 뭘까요?,과수면을 방지하기 위한 좋은 방법이 있을까요?,과수면을 고치는데에는 뭘 해야할까요?,,제대로 된 긴 답변, 구체적인 답변 부탁드립니다.,이것때문에 피해본게 한 두번이 아닙니다."
29	pandemic	정신과약 복용후	2020.02.22	"안녕하세요. 올해 32살 여성입니다,고등학교2학년쯤부터 우울증 불안 공황장애 약을 계속 복용하면서 10년을 지냈습니다. 중간에 몇번씩 안먹어보려고 ..한달 ,세달, 몇주씩 노력도 해보았지만 그때마다 몸이 아프고 여러가지 부작용이 있어서 계속 끊지못하고 거의 의존하며 약을 먹으면서 지냈어요.,제가 약을 먹으면 술을 더 많이 마실려는 경향이있고 여러가지로 몸이 안좋아서 끊어보려구요. 제 기억으로는 약복용을 중단하고 한달이 지나면 몸이 쑤시고 아팠었는데. 이번에는 음식이나 무언가로 대체하고 싶어요. 다니던 대학병원 에서는 끊을수 있는 방법은. 추천안해주셔서 그냥 병원에 안가기로 마음먹었습니다. 음식이나 한약등으로 도움받을수 있을까요~? 벌써부터 불안하고 가슴이 답답하고 숨이 잘 안쉬어지는 느낌이에요 ㅠㅠ 도와주세요"
30	pandemic	간호사 면허 신체검사 소변검사	2020.02.24	"간호학과 학생인데 몇녀동안 우울증, 조울증, 불면증에 대한 진단을 받고 약 복용중입니다.,,간호사 면허딸 때 신체검사를 하는데 거기서 정신보건법 제3조 제1호에 따른 정신질환자, 마약, 대마, 향정신성 약품 중독자가 아님을 검사하기 위해 소변검사를 시행한다고 하는데,,제가 먹는 약물로 인해서 제가 간호사 면허를 못 딸 수도 있는 건가요?"
31	pandemic	머리 떨림	2020.02.24	"원래 불안증세 때문에 손도 떨리구 몸도 떨리구,몸전체를 아주 미세하게 떨었어요,정신과약을 먹고 있는데,약부작용인지 제 증세가 악화가 된건지..,머리가 파르르르 떨려요 이랬던 적이 한번도 없었는데,갑자기 이렇게 됐어요.... 티날정도로 떨어요,손도 전보다 국을 못퍼먹을 정도로 떨려요,살려주세요 ㅠㅠ 이거 왜이럴까요...?,안그래도 대인기피증이 있어서 힘든데,이게 심해져서 밖에도 못나가고 있어요,병원도 겨우 겨우 가고 있고,제가 갑자기 이런 증세가 와서,의사선생님과 대화진행이 힘들어요....,우울증도 너무 심하고 약도 먹은지 3개월 됐는데,효과가 한번도 있었던 적이 없어서 그런가,제가 너무 힘들어 하니까 병원 입원을 하는게 좋겠다고,계속 말씀을 하세요 고민이에요....,친구중에 대학병원 폐쇠병동에 입원했던 친구가 있는데,이야기를 들어보니까 3개월에 6백만원 나왔다고 했고,배식도 급식실가야 되고... 한방에 사람도 6명이나 되고,제가 들어가서 생활하기 힘들겠더라구요,이번에 가면 입원 할지 말지 또 물어보실텐데...,입원을 하는게 좋을까요..?"
32	pandemic	우울증 약 복용 후 부작용일까요??	2020.02.24	"안녕하세요 중소기업에 재직중인 25살 청년입니다.스무살때부터 일하면서 심적으로 많이 지쳤거나 이건 진짜 우울증이다 라고 느꼈을때도 그냥 무난히 지나갔었는데 , 작년에 회사에 입사한 후 스트레스를 너무 받아 가슴이 꽉막힌듯 답답하고 잦은 두통과 불면 , 호흡이 안정치 못해 정말 심각한것 같아 정신과를 가게 됐습니다.,의사선생님께서 유치원생들도 먹는 가장 약한 약을 지어주셔서 약 5일간 복용중입니다만,,잠은 정말 잘 자는데 평소에 꿈꾸는것처럼 몽롱하고,입이 마르고 식욕이 떨어졌습니다.,그리고 약을 복용하기 전에 더 우울해진것 같습니다.,의사선생님께서는 일주일만 더 복용해보자 하셨는데,의사선생님 진단이 맞는거겠죠?"
33	pandemic	우울증약 질문	2020.02.24	"우울증때문에 노르작캡슐 처방받아서 먹고있습니다,세인트존스워트랑 같이 먹어도 괜찮을까요?"
34	pandemic	정신과 진료기록&자해흉터 있으면 직업군인 지원 불가능한가요?	2020.02.24	" 육군 부사관이 장래희망인 중학생 3학년 올라가는 여학생입니다,다름이 아니라, 직업군인이 되는 법들을 여러가지 찾아보다 발견한 사실인데,정신과 진료기록이나 자해흉터가 있을 시에 불가능 하다는 글을 보았습니다,,제가 성범죄 피해자여서 그걸로 인한 정신적 트라우마랑 우울증, 불안증세등등 으로,대학병원에서 정신과진료를 받았었고,  자해랑 자살시도 때문에,재작년에 약물치료를 동반하면서 폐쇄병동에도 2달동안 한번 입원했었어요,지금은 정신과 상담은 아니지만 상담기관에서 상담 받는 중이고요,,유치원 다닐때부터 장래희망이 군인이었어서 아직까지 포기하지 않고 있었는데,저처럼 자해흉터가 있거나 정신과 진료 받은 사람은 직업 군인 못하나요?,,주변에 물어보면, 어떤분은 된다고 하시고 어떤분은 안된다고 하셔서요..,답변 부탁드리겠습니다."
35	pandemic	공무원신체채용검사서 우울증도 불합격 주나요?	2020.02.26	"공무원신체채용검사거 우울증도 불합격 주는 여부에 대해서 여쭤봅니다.,정신과적인 약은 먹고 있고 우울증 그렇게 심하지 않은 편인데 내일 당장 검사해야 되는데... 걱정이 앞서네요. 답좀 빨리 알려주셨으면 합니다."
36	pandemic	명치 위쪽이 아파요	2020.02.26	"저는 최근 우울증,폭식증. 공황장애 진단을 받아 약을 약 한달째 먹고있어요,,5개월 전이었나? 갑자기 헉 하면서 멍치위쪽? 가슴조금아래? 그쪽을 누가 뭘로찌른듯이 아팠었어 깜짝놀랐었던 적이있어요 한달에 한두번 정도그래서 신경안썼는데 최근 한달동안은 일주일에 한번꼴로 욱신거리기도하고 헉 소리가 날만끔 놀라게 아프거나 그걸로 인해 잠에서 깬적도있어요  ,,왜,,,왜이럴까요.. 혹시 지금먹고있는약들의 부작용일 수도 있나요..."
37	pandemic	우울증 공황 불안 밤마다 심해져요	2020.02.27	제가 확진을 받은건 작년 8월이에요 우울증 불안장애 약 3개월 먹다가 괜찮아져서 그냥 끊고 그러는데 일주일 전부터 또 나쁜생각도 들고 그래요 근데 이게 저녁에만 그래요 잠들기전에 왜그럴까요 낮에는 괜찮고 밤에만 생각도 많고 걱정도 많아요 전 가족들이랑 정말 친구같이 싸운적도 없고 행복해요 근데 제가 목표가 너무 높아서 두려운거랑 그거랑 이것저것 품고 이겨내는게 크고 남들한테 제속이야기 안하는성격에 부모님한테도 아무튼 밤마다 마음이 공허하고 두근거리고 눈물이 자주나요 혼자서 그냥 울어요 내가 왜살지 이런생각 자주 들고 아무튼 저녁에만 그래요 공허하고 불안하고 나쁜생각도 들기도하고 좋은방법이 없을까요
38	pandemic	"파주 50대초반/여 우울증, 우울증으로 온몸이 다 아프고 어지럽습니다."	2020.02.27	"제가 우울증 약을 복용한지 10년 정도 되는데 점점 체중이 늘어나서 이제는 온몸이 무겁고 온몸이 아파서 밖에 외출하기도 겁이납니다.,,하루 종일 누워만 있고 집안일을 조금 하려고 일어나면 머리가 어질어질하여 일도 잘 못하고 있습니다.,,너무 아픈데가 많아 어떻게 추스려야 하는지 엄두도 안나는데 제가 도움을 받을수 있을까요?"
39	pandemic	공황장애인가요? 공황장애 진단 받는방법	2020.02.28	"정신과는 다니고 있습니다,근데 병원에서 공황장애라는 얘기는 따로 없으셨고 우울증,불안장애,조울증,강박증 진단받았는데 공황장애인지 어떻게 알 수 있나요?? 사람많은 곳에 가면 식은땀이 나고 심한경우는 기절할것처럼 눈앞이 하얘지면서 빈혈처럼 머리가 띵 하거나 어지럽고 속이 울렁거리고 가끔은 헛구역질이나 토까지 합니다 버스나 비행기나 대중교통을 이용할때도 심합니다 처음엔 그냥 단순 멀미인가 생각했는데 길 걷다가도 사람이 많으면 그런 증상이 생겨서 공황장애가 의심이 됩니다 괜찮다가도 갑자기 그런증상이 생기고 숨이 잘 쉬어지지않고 트름이 안나오는느낌으로 명치가 답답하고 미식거리고 어지러워서 죽을것같다 토할것같다 울고싶다 미칠것같다 라는 생각이 머리에서 계속 듭니다... 너무 괴롭습니다... 내과를 가도 계속 진통제만 주고... 정신과에서도 말했더니 불안장애때문에 그럴수 있다고 불안증세를 낮춰주는 약만 증량해줬습니다.. 저는 공황장애는 아닌건가요?? 정말 너무 힘들어요 어디서 진단받을수있는지 알려주세요"
